SiteName,StageDesc,StageValue,StageTime,SymbolRotation,HRCLat,HRCLong,HRCTMEasting,HRCTMNorthing,Field,NumericLevel,TripLevelID,AlertType,Measurement,threshold,Label,Limit,WarningLevel,Source
Makakahi at Hamua,Steady,4114,18/07/21 9:10,0,-40.565174,175.745106,1832392,5505890,RIVER LEVEL,2,200,RIVER HEIGHTS,Stage [Water Level],,,200,Level reached,RiverHeightsList
Makakahi at Hamua,Steady,4114,18/07/21 9:10,0,-40.565174,175.745106,1832392,5505890,RIVER LEVEL,2.5,250,RIVER HEIGHTS,Stage [Water Level],,,250,Level reached,RiverHeightsList
Makakahi at Hamua,Steady,4114,18/07/21 9:10,0,-40.565174,175.745106,1832392,5505890,RIVER LEVEL,3,300,RIVER HEIGHTS,Stage [Water Level],,,300,Level reached,RiverHeightsList
Makakahi at Hamua,Steady,4114,18/07/21 9:10,0,-40.565174,175.745106,1832392,5505890,RIVER LEVEL,4,400,RIVER HEIGHTS,Stage [Water Level],,,400,Level reached,RiverHeightsList
Makakahi at Hamua,Steady,4114,18/07/21 9:10,0,-40.565174,175.745106,1832392,5505890,RIVER LEVEL,4.5,450,RIVER HEIGHTS,Stage [Water Level],,,450,Not reached,RiverHeightsList
Makino at Boness Road,Steady,1175,18/07/21 9:25,0,-40.257383,175.532662,1815385,5540598,RIVER LEVEL,4,400,RIVER HEIGHTS,Stage [Water Level],,,400,Not reached,RiverHeightsList
Makino at Boness Road,Steady,1175,18/07/21 9:25,0,-40.257383,175.532662,1815385,5540598,RIVER LEVEL,3,300,RIVER HEIGHTS,Stage [Water Level],,,300,Not reached,RiverHeightsList
Makino at Reids Line,Steady,11,18/07/21 9:20,0,-40.19594,175.580886,1819685,5547301,RIVER LEVEL,1.5,150,RIVER HEIGHTS,Stage [Water Level],,,150,Not reached,RiverHeightsList
Makino at Reids Line,Steady,11,18/07/21 9:20,0,-40.19594,175.580886,1819685,5547301,RIVER LEVEL,1.7,170,RIVER HEIGHTS,Stage [Water Level],,,170,Not reached,RiverHeightsList
Makino at Reids Line,Steady,11,18/07/21 9:20,0,-40.19594,175.580886,1819685,5547301,RIVER LEVEL,1.9,190,RIVER HEIGHTS,Stage [Water Level],,,190,Not reached,RiverHeightsList
Makino at Reids Line,Steady,11,18/07/21 9:20,0,-40.19594,175.580886,1819685,5547301,RIVER LEVEL,2.1,210,RIVER HEIGHTS,Stage [Water Level],,,210,Not reached,RiverHeightsList
Manawatu at Hopelands,Steady,617,18/07/21 9:00,0,-40.358857,175.962862,1851599,5528198,RIVER LEVEL,4.5,450,RIVER HEIGHTS,Stage [Water Level],,,450,Not reached,RiverHeightsList
Manawatu at Hopelands,Steady,617,18/07/21 9:00,0,-40.358857,175.962862,1851599,5528198,RIVER LEVEL,5.5,550,RIVER HEIGHTS,Stage [Water Level],,,550,Not reached,RiverHeightsList
Manawatu at Moutoa,Rising,2171,18/07/21 9:00,0,-40.491441,175.372522,1801068,5514992,RIVER LEVEL,7,700,RIVER HEIGHTS,Stage [Water Level],,,700,Not reached,RiverHeightsList
Manawatu at Moutoa,Rising,2171,18/07/21 9:00,0,-40.491441,175.372522,1801068,5514992,RIVER LEVEL,7.5,750,RIVER HEIGHTS,Stage [Water Level],,,750,Not reached,RiverHeightsList
Manawatu at Moutoa,Rising,2171,18/07/21 9:00,0,-40.491441,175.372522,1801068,5514992,RIVER LEVEL,8.4,840,RIVER HEIGHTS,Stage [Water Level],,,840,Not reached,RiverHeightsList
Manawatu at Teachers College,Falling,1516,18/07/21 9:15,180,-40.373288,175.62773,1823089,5527495,RIVER LEVEL,3,300,RIVER HEIGHTS,Stage [Water Level],,,300,Not reached,RiverHeightsList
Manawatu at Teachers College,Falling,1516,18/07/21 9:15,180,-40.373288,175.62773,1823089,5527495,RIVER LEVEL,3.5,350,RIVER HEIGHTS,Stage [Water Level],,,350,Not reached,RiverHeightsList
Manawatu at Teachers College,Falling,1516,18/07/21 9:15,180,-40.373288,175.62773,1823089,5527495,RIVER LEVEL,3.8,380,RIVER HEIGHTS,Stage [Water Level],,,380,Not reached,RiverHeightsList
